Pan francés tipo flauta,Kg,"145,61","140,13","3,9"
Pan de mesa,390 g,"118,47","115,98","2,1"
Galletitas dulces envasadas sin relleno,150 g,"57,83","57,23","1,0"
Galletitas de agua envasadas,250 g,"67,59","68,64","-1,5"
Harina de trigo común 000,Kg,"43,62","42,55","2,5"
Arroz blanco simple,Kg,"81,53","81,76","-0,3"
Fideos secos tipo guisero,500 g,"61,51","60,87","1,1"
Asado,Kg,"588,62","528,67","11,3"
Carne picada común,Kg,"313,33","300,90","4,1"
Paleta,Kg,"505,24","462,44","9,3"
Cuadril,Kg,"622,62","564,45","10,3"
Nalga,Kg,"654,45","616,98","6,1"
Hamburguesas congeladas,Env. 4 u,"214,05","216,43","-1,1"
Pollo entero,Kg,"160,99","154,99","3,9"
Filet de merluza fresco,Kg,"465,46","406,71","14,4"
Salchicha tipo Viena,Env. 6 u,"86,82","81,51","6,5"
Jamón cocido,Kg,"718,60","700,67","2,6"
Salchichón,Kg,"420,28","434,66","-3,3"
Salame,kg,"961,42","968,90","-0,8"
Aceite de girasol,"Bot. 1,5 litros","190,11","181,90","4,5"
Leche fresca entera en sachet,Litro,"58,00","57,30","1,2"
Leche en polvo entera,800 g,"408,98","374,85","9,1"
Queso cremoso,kg,"444,67","428,56","3,8"
Queso pategrás,kg,"786,66","767,84","2,5"
Queso sardo,kg,"804,84","779,93","3,2"
Manteca,200 g,"128,73","128,34","0,3"
Yogur firme,195 cc,"75,65","72,61","4,2"
Dulce de leche,400 g,"100,29","101,77","-1,5"
Huevos de gallina,Docena,"127,31","126,16","0,9"
Manzana deliciosa,kg,"201,39","185,56","8,5"
Limón,kg,"185,59","133,12","39,4"
Naranja,kg,"90,47","73,49","23,1"
Banana,kg,"117,64","108,33","8,6"
Batata,kg,"109,90","96,44","14,0"
Papa,kg,"59,70","61,10","-2,3"
Cebolla,kg,"62,60","56,49","10,8"
Lechuga,kg,"128,67","113,08","13,8"
Tomate redondo,kg,"51,75","53,77","-3,8"
Zapallo anco,kg,"77,60","99,86","-22,3"
Tomate entero en conserva,Lata 230 g,"80,22","82,22","-2,4"
Arvejas secas remojadas,Lata 220 g,"41,13","39,98","2,9"
Azúcar,kg,"66,78","66,12","1,0"
Sal fina,500 g,"40,16","41,10","-2,3"
Polvo para flan,8 porciones,"37,94","37,80","0,4"
Gaseosa base cola,"1,5 litros","110,91","106,35","4,3"
Agua sin gas,"1,5 litros","60,04","62,52","-4,0"
Cerveza en botella,Litro,"116,74","112,47","3,8"
Vino común,Litro,"79,48","75,18","5,7"
Café molido,500 g,"269,43","265,53","1,5"
Yerba mate,500 g,"146,79","142,87","2,7"
Jabón en polvo para ropa,800 g,"130,72","128,13","2,0"
Detergente líquido,750 cc,"75,03","73,04","2,7"
Jabón en pan,200 g,"48,62","48,36","0,5"
Lavandina,1.000 cc,"54,46","54,48","0,0"
Algodón,100 g,"88,93","88,30","0,7"
Champú,400 cc,"243,64","235,93","3,3"
Desodorante,150 cc,"151,31","149,65","1,1"
Jabón de tocador,125 g,"47,08","47,40","-0,7"
Pañales descartables,10 u,"181,44","180,04","0,8"
10/17
""
