Pan francés tipo flauta,Kg,"209,92","207,97","0,9"
Pan de mesa,390 g,"189,08","169,12","11,8"
Galletitas dulces envasadas sin relleno,150 g,"73,27","71,37","2,7"
Galletitas de agua envasadas,250 g,"95,26","94,25","1,1"
Harina de trigo común 000,Kg,"62,82","59,46","5,7"
Arroz blanco simple,Kg,"120,60","114,82","5,0"
Fideos secos tipo guisero,500 g,"80,60","78,44","2,8"
Asado,Kg,"891,66","884,61","0,8"
Carne picada común,Kg,"481,74","507,32","-5,0"
Paleta,Kg,"773,00","764,82","1,1"
Cuadril,Kg,"949,33","944,90","0,5"
Nalga,Kg,"1.019,53","1.022,84","-0,3"
Hamburguesas congeladas,Env. 4 u,"315,24","312,95","0,7"
Pollo entero,Kg,"229,35","223,64","2,6"
Filet de merluza fresco,Kg,"760,98","697,30","9,1"
Salchicha tipo Viena,Env. 6 u,"124,21","120,21","3,3"
Jamón cocido,Kg,"1.139,91","1.089,32","4,6"
Salchichón,Kg,"676,09","655,73","3,1"
Salame,Kg,"1.363,18","1.322,76","3,1"
Aceite de girasol,"Bot. 1,5 litros","305,48","296,67","3,0"
Leche fresca entera en sachet,Litro,"91,22","90,29","1,0"
Leche en polvo entera,800 g,"643,88","637,36","1,0"
Queso cremoso,Kg,"735,72","713,08","3,2"
Queso pategrás,Kg,"1.340,60","1.294,72","3,5"
Queso sardo,Kg,"1.410,36","1.370,22","2,9"
Manteca,200 g,"211,18","209,53","0,8"
Yogur firme,195 cc,"125,59","121,65","3,2"
Dulce de leche,400 g,"169,98","168,55","0,8"
Huevos de gallina,Docena,"163,58","159,68","2,4"
Manzana deliciosa,Kg,"201,28","184,72","9,0"
Limón,Kg,"115,14","88,46","30,2"
Naranja,Kg,"74,12","64,35","15,2"
Banana,Kg,"182,37","173,48","5,1"
Batata,Kg,"92,06","85,25","8,0"
Papa,Kg,"61,33","53,71","14,2"
Cebolla,Kg,"64,96","58,38","11,3"
Lechuga,Kg,"229,16","151,67","51,1"
Tomate redondo,Kg,"206,33","113,26","82,2"
Zapallo anco,Kg,"89,60","93,93","-4,6"
Tomate entero en conserva,Lata 230 g,"89,14","86,84","2,6"
Arvejas secas remojadas,Lata 220 g,"59,97","57,45","4,4"
Azúcar,Kg,"83,75","81,71","2,5"
Sal fina,500 g,"58,72","56,88","3,2"
Polvo para flan,8 porciones,"46,16","44,25","4,3"
Gaseosa base cola,"1,5 litros","148,64","143,75","3,4"
Agua sin gas,"1,5 litros","78,52","75,02","4,7"
Cerveza en botella,Litro,"158,94","159,62","-0,4"
Vino común,Litro,"167,31","163,25","2,5"
Café molido,500 g,"485,84","457,66","6,2"
Yerba mate,500 g,"225,18","216,78","3,9"
Jabón en polvo para ropa,800 g,"184,46","174,49","5,7"
Detergente líquido,750 cc,"114,95","111,31","3,3"
Jabón en pan,200 g,"70,31","67,96","3,5"
Lavandina,1.000 cc,"72,85","71,05","2,5"
Algodón,100 g,"126,27","121,41","4,0"
Champú,400 cc,"329,29","313,46","5,1"
Desodorante,150 cc,"238,33","235,07","1,4"
Jabón de tocador,125 g,"73,15","69,61","5,1"
Pañales descartables,10 u,"227,89","211,15","7,9"
10/16
""
