"",,Pesos,%,
Pan francés tipo flauta,Kg,"172,29","164,72","4,6"
Pan de mesa,390 g,"142,76","138,72","2,9"
Galletitas dulces envasadas sin relleno,150 g,"60,87","59,92","1,6"
Galletitas de agua envasadas,250 g,"76,28","75,75","0,7"
Harina de trigo común 000,Kg,"49,51","46,40","6,7"
Arroz blanco simple,Kg,"108,97","96,38","13,1"
Fideos secos tipo guisero,500 g,"69,45","68,87","0,8"
Asado,Kg,"664,77","634,88","4,7"
Carne picada común,Kg,"407,23","372,64","9,3"
Paleta,Kg,"629,25","589,92","6,7"
Cuadril,Kg,"758,23","717,50","5,7"
Nalga,Kg,"801,47","756,65","5,9"
Hamburguesas congeladas,Env. 4 u,"279,71","278,67","0,4"
Pollo entero,Kg,"180,57","178,41","1,2"
Filet de merluza fresco,Kg,"578,13","561,51","3,0"
Salchicha tipo Viena,Env. 6 u,"104,15","103,09","1,0"
Jamón cocido,Kg,"816,70","808,11","1,1"
Salchichón,Kg,"501,65","481,83","4,1"
Salame,kg,"1.084,90","1.060,98","2,3"
Aceite de girasol,"Bot. 1,5 litros","233,35","220,95","5,6"
Leche fresca entera en sachet,Litro,"77,21","76,35","1,1"
Leche en polvo entera,800 g,"487,68","471,51","3,4"
Queso cremoso,kg,"622,96","591,20","5,4"
Queso pategrás,kg,"1.087,92","1.025,85","6,1"
Queso sardo,kg,"1.164,80","1.091,19","6,7"
Manteca,200 g,"173,59","167,03","3,9"
Yogur firme,195 cc,"76,68","78,54","-2,4"
Dulce de leche,400 g,"133,55","124,89","6,9"
Huevos de gallina,Docena,"134,99","133,46","1,1"
Manzana deliciosa,kg,"164,73","170,45","-3,4"
Limón,kg,"108,96","127,21","-14,3"
Naranja,kg,"93,25","130,50","-28,5"
Banana,kg,"124,78","126,25","-1,2"
Batata,kg,"80,60","88,61","-9,0"
Papa,kg,"55,95","54,35","2,9"
Cebolla,kg,"63,40","67,57","-6,2"
Lechuga,kg,"168,23","203,92","-17,5"
Tomate redondo,kg,"116,75","85,09","37,2"
Zapallo anco,kg,"56,16","58,50","-4,0"
Tomate entero en conserva,Lata 230 g,"78,37","77,57","1,0"
Arvejas secas remojadas,Lata 220 g,"49,70","49,36","0,7"
Azúcar,kg,"69,58","69,64","-0,1"
Sal fina,500 g,"48,98","48,86","0,2"
Polvo para flan,8 porciones,"39,83","38,76","2,8"
Gaseosa base cola,"1,5 litros","123,38","118,74","3,9"
Agua sin gas,"1,5 litros","62,16","62,30","-0,2"
Cerveza en botella,Litro,"132,61","130,10","1,9"
Vino común,Litro,"112,41","107,54","4,5"
Café molido,500 g,"299,32","295,12","1,4"
Yerba mate,500 g,"184,25","175,93","4,7"
Jabón en polvo para ropa,800 g,"152,17","151,82","0,2"
Detergente líquido,750 cc,"84,60","81,83","3,4"
Jabón en pan,200 g,"51,40","50,39","2,0"
Lavandina,1.000 cc,"56,15","55,79","0,6"
Algodón,100 g,"98,62","95,02","3,8"
Champú,400 cc,"274,39","267,08","2,7"
Desodorante,150 cc,"186,35","169,15","10,2"
Jabón de tocador,125 g,"53,41","52,28","2,2"
Pañales descartables,10 u,"203,14","194,66","4,4"
12/20
""
